,0,1,2
0,CHEMBL2074,Homo sapiens,Maltase-glucoamylase
1,CHEMBL1971,Homo sapiens,Sulfonylurea receptor 2
2,CHEMBL1827,Homo sapiens,Phosphodiesterase 5A
3,CHEMBL1859,Homo sapiens,Voltage-gated T-type calcium channel alpha-1H subunit
4,CHEMBL1884,Ascaris suum,Nicotinic acetylcholine receptor alpha subunit
5,CHEMBL202,Homo sapiens,Dihydrofolate reductase
6,CHEMBL1809,Escherichia coli K-12,Dihydrofolate reductase
7,CHEMBL1862,Homo sapiens,Tyrosine-protein kinase ABL
8,CHEMBL203,Homo sapiens,Epidermal growth factor receptor erbB1
9,CHEMBL1852,Escherichia coli K-12,DNA-directed RNA polymerase beta chain
10,CHEMBL204,Homo sapiens,Thrombin
11,CHEMBL1801,Homo sapiens,Plasminogen
12,CHEMBL2065,Escherichia coli,Beta-lactamase TEM
13,CHEMBL1910,Homo sapiens,Adenosine deaminase
14,CHEMBL205,Homo sapiens,Carbonic anhydrase II
15,CHEMBL1950,Homo sapiens,Antithrombin-III
16,CHEMBL1813,Escherichia coli K-12,Penicillin-binding protein 1A
17,CHEMBL206,Homo sapiens,Estrogen receptor alpha
18,CHEMBL2051,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),Neuraminidase
19,CHEMBL2052,Influenza A virus (A/Udorn/307/1972(H3N2)),Influenza virus A matrix protein M2
20,CHEMBL2000,Homo sapiens,Plasma kallikrein
21,CHEMBL402,Homo sapiens,HMG-CoA reductase
22,CHEMBL2034,Homo sapiens,Glucocorticoid receptor
23,CHEMBL1872,Herpes simplex virus (type 1 / strain 17),Human herpesvirus 1 DNA polymerase
24,CHEMBL1952,Homo sapiens,Thymidylate synthase
25,CHEMBL1807,Homo sapiens,Sodium/potassium-transporting ATPase alpha-1 chain
26,CHEMBL1935,Homo sapiens,Aldehyde dehydrogenase
27,CHEMBL2033,Homo sapiens,Cytochrome P450 11A1
28,CHEMBL1848,Homo sapiens,Tubulin beta-2 chain
29,CHEMBL1905,Homo sapiens,Fibronectin receptor beta
30,CHEMBL1981,Homo sapiens,Insulin receptor
31,CHEMBL208,Homo sapiens,Progesterone receptor
32,CHEMBL1826,Escherichia coli K-12,DNA gyrase subunit B
33,CHEMBL1968,Homo sapiens,Epoxide hydrolase 1
34,CHEMBL1969,Homo sapiens,Tyrosine 3-hydroxylase
35,CHEMBL1839,Homo sapiens,Thyroid peroxidase
36,CHEMBL1970,Homo sapiens,Alcohol dehydrogenase alpha chain
37,CHEMBL209,Homo sapiens,Trypsin I
38,CHEMBL210,Homo sapiens,Beta-2 adrenergic receptor
39,CHEMBL1956,Escherichia coli K-12,D-alanylalanine synthetase
40,CHEMBL1840,Escherichia coli K-12,Penicillin-binding protein 2
41,CHEMBL211,Homo sapiens,Muscarinic acetylcholine receptor M2
42,CHEMBL1994,Homo sapiens,Mineralocorticoid receptor
43,CHEMBL212,Homo sapiens,Integrin alpha-IIb
44,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor
45,CHEMBL214,Homo sapiens,Serotonin 1a (5-HT1a) receptor
46,CHEMBL1867,Homo sapiens,Alpha-2a adrenergic receptor
47,CHEMBL1858,Escherichia coli K-12,DNA gyrase subunit A
48,CHEMBL1828,Homo sapiens,DNA polymerase alpha subunit
49,CHEMBL215,Homo sapiens,Arachidonate 5-lipoxygenase
50,CHEMBL1871,Homo sapiens,Androgen Receptor
51,CHEMBL2055,Homo sapiens,Retinoic acid receptor alpha
52,CHEMBL1780,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),Cytochrome P450 51
53,CHEMBL1860,Homo sapiens,Thyroid hormone receptor alpha
54,CHEMBL1976,Homo sapiens,Growth hormone receptor
55,CHEMBL216,Homo sapiens,Muscarinic acetylcholine receptor M1
56,CHEMBL1781,Homo sapiens,DNA topoisomerase I
57,CHEMBL1806,Homo sapiens,DNA topoisomerase II alpha
58,CHEMBL1977,Homo sapiens,Vitamin D receptor
59,CHEMBL1978,Homo sapiens,Cytochrome P450 19A1
